{'acc': 98.24316109422493, 'f1': 89.65517241379311, 'p': 92.15686274509804, 'r': 87.28571428571429, 'f1_per': 97.48743718592965, 'p_per': 98.47715736040608, 'r_per': 96.51741293532339, 'f1_loc': 89.00523560209423, 'p_loc': 90.74733096085409, 'r_loc': 87.32876712328768, 'f1_org': 82.6530612244898, 'p_org': 87.56756756756758, 'r_org': 78.26086956521739}
{'acc': 98.05471124620061, 'f1': 89.21496698459279, 'p': 91.70437405731523, 'r': 86.85714285714286, 'f1_per': 97.24310776942356, 'p_per': 97.97979797979798, 'r_per': 96.51741293532339, 'f1_loc': 88.84955752212389, 'p_loc': 91.94139194139194, 'r_loc': 85.95890410958904, 'f1_org': 81.70426065162908, 'p_org': 84.89583333333334, 'r_org': 78.74396135265701}
{'acc': 98.17021276595744, 'f1': 89.65517241379311, 'p': 92.15686274509804, 'r': 87.28571428571429, 'f1_per': 97.48743718592965, 'p_per': 98.47715736040608, 'r_per': 96.51741293532339, 'f1_loc': 89.5575221238938, 'p_loc': 92.67399267399267, 'r_loc': 86.64383561643835, 'f1_org': 82.0, 'p_org': 84.97409326424871, 'r_org': 79.22705314009661}
{'acc': 98.04863221884499, 'f1': 90.38884812912691, 'p': 92.91101055806938, 'r': 88.0, 'f1_per': 97.22921914357683, 'p_per': 98.46938775510205, 'r_per': 96.01990049751244, 'f1_loc': 90.36777583187391, 'p_loc': 92.47311827956989, 'r_loc': 88.35616438356165, 'f1_org': 83.54430379746834, 'p_org': 87.7659574468085, 'r_org': 79.71014492753623}
{'acc': 98.06079027355624, 'f1': 89.53913679590345, 'p': 91.75412293853074, 'r': 87.42857142857143, 'f1_per': 95.5, 'p_per': 95.97989949748744, 'r_per': 95.02487562189054, 'f1_loc': 89.35427574171028, 'p_loc': 91.10320284697508, 'r_loc': 87.67123287671232, 'f1_org': 83.75634517766498, 'p_org': 88.23529411764706, 'r_org': 79.71014492753623}
{'acc': 98.23708206686929, 'f1': 89.65517241379311, 'p': 92.15686274509804, 'r': 87.28571428571429, 'f1_per': 97.48743718592965, 'p_per': 98.47715736040608, 'r_per': 96.51741293532339, 'f1_loc': 89.39929328621909, 'p_loc': 92.33576642335767, 'r_loc': 86.64383561643835, 'f1_org': 82.20551378446115, 'p_org': 85.41666666666666, 'r_org': 79.22705314009661}
{'acc': 98.19452887537994, 'f1': 89.73607038123167, 'p': 92.16867469879519, 'r': 87.42857142857143, 'f1_per': 96.2406015037594, 'p_per': 96.96969696969697, 'r_per': 95.52238805970148, 'f1_loc': 90.14084507042253, 'p_loc': 92.7536231884058, 'r_loc': 87.67123287671232, 'f1_org': 82.61964735516372, 'p_org': 86.31578947368422, 'r_org': 79.22705314009661}
{'acc': 98.19452887537994, 'f1': 90.0953778429934, 'p': 92.60935143288084, 'r': 87.71428571428571, 'f1_per': 97.98994974874371, 'p_per': 98.98477157360406, 'r_per': 97.01492537313433, 'f1_loc': 89.00709219858156, 'p_loc': 92.27941176470588, 'r_loc': 85.95890410958904, 'f1_org': 83.79052369077307, 'p_org': 86.5979381443299, 'r_org': 81.15942028985508}
{'acc': 98.20668693009118, 'f1': 89.84660336011687, 'p': 91.92825112107623, 'r': 87.85714285714286, 'f1_per': 97.24310776942356, 'p_per': 97.97979797979798, 'r_per': 96.51741293532339, 'f1_loc': 89.75265017667844, 'p_loc': 92.7007299270073, 'r_loc': 86.98630136986301, 'f1_org': 82.67326732673268, 'p_org': 84.77157360406092, 'r_org': 80.67632850241546}
{'acc': 98.38905775075987, 'f1': 91.14850036576446, 'p': 93.4032983508246, 'r': 89.0, 'f1_per': 97.0, 'p_per': 97.48743718592965, 'r_per': 96.51741293532339, 'f1_loc': 90.94076655052264, 'p_loc': 92.5531914893617, 'r_loc': 89.38356164383562, 'f1_org': 85.49618320610686, 'p_org': 90.32258064516128, 'r_org': 81.15942028985508}
{'acc': 98.2127659574468, 'f1': 89.58944281524927, 'p': 92.01807228915662, 'r': 87.28571428571429, 'f1_per': 96.75810473815461, 'p_per': 97.0, 'r_per': 96.51741293532339, 'f1_loc': 89.48306595365419, 'p_loc': 93.3085501858736, 'r_loc': 85.95890410958904, 'f1_org': 82.5870646766169, 'p_org': 85.12820512820512, 'r_org': 80.19323671497585}
{'acc': 98.12765957446808, 'f1': 90.0953778429934, 'p': 92.60935143288084, 'r': 87.71428571428571, 'f1_per': 97.22921914357683, 'p_per': 98.46938775510205, 'r_per': 96.01990049751244, 'f1_loc': 90.52631578947367, 'p_loc': 92.80575539568345, 'r_loc': 88.35616438356165, 'f1_org': 82.32323232323233, 'p_org': 86.24338624338624, 'r_org': 78.74396135265701}
{'acc': 98.24316109422493, 'f1': 89.72099853157123, 'p': 92.29607250755288, 'r': 87.28571428571429, 'f1_per': 95.71788413098237, 'p_per': 96.93877551020408, 'r_per': 94.5273631840796, 'f1_loc': 89.7887323943662, 'p_loc': 92.3913043478261, 'r_loc': 87.32876712328768, 'f1_org': 83.6272040302267, 'p_org': 87.36842105263159, 'r_org': 80.19323671497585}
{'acc': 98.25531914893617, 'f1': 89.9926953981008, 'p': 92.07772795216741, 'r': 88.0, 'f1_per': 96.75810473815461, 'p_per': 97.0, 'r_per': 96.51741293532339, 'f1_loc': 89.3169877408056, 'p_loc': 91.39784946236558, 'r_loc': 87.32876712328768, 'f1_org': 84.1309823677582, 'p_org': 87.89473684210526, 'r_org': 80.67632850241546}
{'acc': 98.19452887537994, 'f1': 89.8909090909091, 'p': 91.55555555555556, 'r': 88.28571428571429, 'f1_per': 96.48241206030151, 'p_per': 97.46192893401016, 'r_per': 95.52238805970148, 'f1_loc': 89.70331588132635, 'p_loc': 91.45907473309609, 'r_loc': 88.01369863013699, 'f1_org': 83.66336633663364, 'p_org': 85.78680203045685, 'r_org': 81.64251207729468}
